ID,Result,Score,Moves,Completed
987,Won,393,915,8
988,Lost,751,153,4
989,Lost,407,93,0
990,Lost,555,147,2
991,Won,1055,253,8
992,Won,1065,243,8
993,Lost,622,181,3
994,Won,793,515,8
995,Won,429,879,8
996,Lost,464,137,1
997,Lost,399,101,0
998,Lost,401,99,0
999,Won,839,469,8
1000,Lost,656,147,3
1001,Won,759,549,8
1002,Won,985,323,8
1003,Won,1107,201,8
1004,Won,539,769,8
1005,Won,1071,237,8
1006,Lost,401,99,0
1007,Won,911,397,8
1008,Lost,466,135,1
1009,Won,577,731,8
1010,Won,495,813,8
1011,Won,1039,269,8
1012,Lost,652,151,3
1013,Won,751,557,8
1014,Won,589,719,8
1015,Lost,466,135,1
1016,Lost,445,55,0
1017,Won,1001,307,8
1018,Won,845,463,8
1019,Lost,476,125,1
1020,Lost,767,137,4
1021,Lost,583,119,2
1022,Lost,573,129,2
1023,Won,453,855,8
1024,Lost,492,109,1
1025,Lost,520,81,1
1026,Won,839,469,8
1027,Lost,587,115,2
1028,Lost,648,155,3
1029,Lost,508,93,1
1030,Won,1033,275,8
1031,Lost,512,89,1
1032,Lost,585,117,2
1033,Won,1015,293,8
1034,Won,739,569,8
1035,Won,-37,1345,8
1036,Won,1063,245,8
1037,Lost,439,61,0
1038,Won,1077,231,8
1039,Won,-17,1325,8
1040,Lost,474,127,1
1041,Won,219,1089,8
1042,Lost,523,179,2
1043,Won,557,751,8
1044,Won,363,945,8
1045,Won,751,557,8
1046,Won,1077,231,8
1047,Lost,405,95,0
1048,Lost,573,129,2
1049,Won,-1297,2605,8
1050,Won,789,519,8
1051,Lost,589,113,2
1052,Lost,474,127,1
1053,Won,1043,265,8
1054,Lost,577,125,2
1055,Lost,749,155,4
1056,Lost,419,81,0
1057,Lost,484,117,1
1058,Won,705,603,8
1059,Lost,531,171,2
1060,Lost,423,77,0
1061,Won,-655,1963,8
1062,Lost,381,119,0
1063,Lost,583,119,2
1064,Lost,571,131,2
1065,Won,1077,231,8
1066,Lost,411,89,0
1067,Lost,729,175,4
1068,Lost,565,137,2
1069,Lost,383,117,0
1070,Won,1059,249,8
1071,Won,1083,225,8
1072,Lost,528,73,1
1073,Won,11,1297,8
1074,Won,77,1231,8
1075,Lost,490,111,1
1076,Won,1049,259,8
1077,Won,733,575,8
1078,Lost,636,167,3
1079,Lost,658,145,3
1080,Won,943,365,8
1081,Won,1045,263,8
1082,Won,331,977,8
1083,Won,251,1057,8
1084,Lost,593,109,2
1085,Lost,506,95,1
1086,Lost,407,93,0
1087,Won,999,309,8
1088,Lost,569,133,2
1089,Won,969,339,8
1090,Lost,435,65,0
1091,Lost,515,187,2
1092,Won,507,801,8
1093,Won,449,859,8
1094,Won,255,1053,8
1095,Lost,373,127,0
1096,Lost,377,123,0
1097,Lost,579,123,2
1098,Won,-3,1311,8
1099,Won,1099,209,8
1100,Won,-155,1463,8
1101,Won,515,793,8
1102,Lost,545,157,2
1103,Lost,806,199,5
1104,Lost,654,149,3
1105,Lost,547,155,2
1106,Won,-529,1837,8
1107,Won,843,465,8
1108,Lost,707,197,4
1109,Won,-437,1745,8
1110,Lost,577,125,2
1111,Lost,419,81,0
1112,Won,217,1091,8
1113,Lost,541,161,2
1114,Lost,387,113,0
1115,Won,85,1223,8
1116,Won,109,1199,8
1117,Won,935,373,8
1118,Won,127,1181,8
1119,Won,55,1253,8
1120,Won,1031,277,8
1121,Won,395,913,8
1122,Lost,399,101,0
1123,Won,-145,1453,8
1124,Won,713,595,8
1125,Lost,-68,1275,7
1126,Lost,569,133,2
1127,Lost,579,123,2
1128,Lost,635,269,4
1129,Won,365,943,8
1130,Lost,421,79,0
1131,Lost,395,105,0
1132,Lost,677,227,4
1133,Won,1077,231,8
1134,Lost,579,123,2
1135,Won,991,317,8
1136,Lost,514,87,1
1137,Won,671,637,8
1138,Won,997,311,8
1139,Lost,427,73,0
1140,Won,1081,227,8
1141,Won,1085,223,8
1142,Lost,480,121,1
1143,Won,1049,259,8
1144,Won,779,529,8
1145,Lost,419,81,0
1146,Lost,478,123,1
1147,Won,675,633,8
1148,Lost,397,103,0
1149,Won,593,715,8
1150,Lost,456,145,1
1151,Won,1077,231,8
1152,Won,667,641,8
1153,Lost,647,257,4
1154,Lost,411,89,0
1155,Won,117,1191,8
1156,Won,411,897,8
1157,Lost,599,103,2
1158,Lost,531,171,2
1159,Lost,407,93,0
1160,Lost,650,153,3
